ENDSVILLE400_0001	ながしぎりがかんぜんにはいれば、でばふのこうかがふよされる。
MIDDLE1600_1_0528	じぇう゛ぉんずわ、ぷろでゅーさぎょうにつくため、こちぇーう゛ぃえにむかった。
MIDDLE1600_1_0529	きたみちをまちがえてぎゃっこうし、いりぐちにもどってきてしまった。
MIDDLE1600_1_0530	よるにぷーあるちゃをだすかふぇが、みねそたでぶーむだと。
MIDDLE1600_1_0531	ばすけぶのてょんが、あるよるつぇなーだいおーどをべんきにすてた。
MIDDLE1600_1_0532	れんぎぇるとーてぃのさんぽちゅう、けばぶのかおりがかぜにのってにおった。
MIDDLE1600_1_0533	ぼくさーにぴゅあうぉーたーをくばるきかくわ、せいきょうだった。
MIDDLE1600_1_0534	よなかにがいろをあるいていたのわ、えんじのみゅーずだろう？
MIDDLE1600_1_0535	すぱるただったが、くぃんたにらをうらむなどかんがえられぬ。
MIDDLE1600_1_0536	かくげーだと、ばるにゃしぇふにらんにゅうされたらかちめがないぞ。
MIDDLE1600_1_0537	じゅねーう゛えのたびのにもつを、う゛ぇーちぇるとふたりでいっかつこうにゅうしよう。
MIDDLE1600_1_0538	こーぱすぶんづくりで、てゃとならぶむずかしさをほこるのわ、でゃとでょ。
MIDDLE1600_1_0539	えう゛ぁんすわ、ゆでんをみながら、くぉーつどけいのげんりをまなぶ。
MIDDLE1600_1_0540	う゛ぃっつぃーにわ、りゅーじゅえのしゅつじょうをだしんされたが、きょひした。
MIDDLE1600_1_0541	くぅおてぃゆーすふぃすを、たのこどもふくとくべつしてきこなす。
MIDDLE1600_1_0542	ぎえどりゅすわ、ぞうしつすることなかれと、わかものにはっぱをかけた。
MIDDLE1600_1_0543	んがぴゃーいぇーってぎょしょうわ、なまえでいうとびみょうにぎゃぐっぽいな。
MIDDLE1600_1_0544	ひゃくぶんしても、かじみぇじゅう゛なのひょうばんわぐっどだね。
MIDDLE1600_1_0545	へってぃわ、くぁんたんでぬかのかたまりをみつけ、こっそりもちかえった。
MIDDLE1600_1_0546	えぞほとけどじょうをぶじにほごするにわ、こぜにじゃたりない。
MIDDLE1600_1_0547	はちょうちょうわいかつぇーどぅあとよぶが、はつおんがむずかしいだろ？
MIDDLE1600_1_0548	すぃーつをたべたうぇーるずわ、そのあまさにあごがはずれそうだった。
MIDDLE1600_1_0549	こおりがはるさむさだと、ぺちぺちたたくだけでひふがひびわれるよ。
MIDDLE1600_1_0550	ぐちでひみつをもらしたたうぺあふぇを、のがすわけないだろ。
MIDDLE1600_1_0551	しょうちくばいのとっぷわなにか、ぼらーにょわわからなかった。
MIDDLE1600_1_0552	まだぐぅぐぅねているが、めざめとともにじさつのおそれがある。
MIDDLE1600_1_0553	こじぇみゃこわ、もりでくまとであい、きぇーとさけびみけんをなぐった。
MIDDLE1600_1_0554	へるしぃなりょうりでだいえっとし、よせいをたのしむことにいたす。
MIDDLE1600_1_0555	みゆきとぺぺわ、いぇじがぷーるでおよぐのをさぽーとした。
MIDDLE1600_1_0556	う゛ぃんちぇんつぁともやくそくしたのだから、むちゃわしないとちかうぜ。
MIDDLE1600_1_0557	あかおびというしゅるいがあり、びさうにわしゅとくしゃもじつざいするぜ。
MIDDLE1600_1_0558	ぼうこくにある、ぎゅぜるゆるとちくから、ぼでぃーがーどをやとったそうだ。
MIDDLE1600_1_0559	たしかに、ぐぇりとーれわさじをなげたが、う゛ぁさんとならにぎりつぶせるかも。
MIDDLE1600_1_0560	めんどうだが、う゛ぇるふぁいあにのって、よつやえきえいこう。
MIDDLE1600_1_0561	ぞぺてぃわはらをみたし、まんぞくげにちっぷをしはらった。
MIDDLE1600_1_0562	えどっこだけど、てやんでぇわてゃんでぇににたはつおんだよ。
MIDDLE1600_1_0563	でぇだむろんのいえわ、げりらごううでゆかしたしんすいにあった。
MIDDLE1600_1_0564	はなしてくれ、う゛ぃるひょーさまわじひぶかく、きけばむげにしないはずだ。
MIDDLE1600_1_0565	とぅぱーなくわ、ぽしぇっとをさがさなかったことに、かいこんのなみだをながす。
MIDDLE1600_1_0566	う゛ぁにりぇくらんせのれしぴをめぐり、ゆざわけわしゅらばとなった。
MIDDLE1600_1_0567	せいかがでゅくりゅえをみちびくしーん、れんじつみいられたようにみるのう。
MIDDLE1600_1_0568	しぇんといぇるにぇいで、ねこみをおそったやつが、まだはっきりせぬ。
MIDDLE1600_1_0569	かちゅびぇーいわ、ぜんりょうなう゛ぁすでう゛ぁんのあしを、ひっぱりわしませんよ。
MIDDLE1600_1_0570	ざつであらいしごとで、まじめなうぉらるをごまかせりゃ、せわないぜ。
MIDDLE1600_1_0571	ばーみゅーれんさんがねばれば、でこぼこのとちをたいらにもできるぞ。
MIDDLE1600_1_0572	そのきょうちにまでたどりついたら、もはやふぃーりょわとまらないだろう。
MIDDLE1600_1_0573	じぇぐぉんわ、すいぞくかんでかかりのひとに、ぺんぎんのばしょをききます。
MIDDLE1600_1_0574	みゃーとなくえでぃにこおうして、ねこわにゃーとなきかえした。
MIDDLE1600_1_0575	へよんにだでぃとよんでほしいので、すこしずつならそう。
MIDDLE1600_1_0576	ちょちくをふやすべく、まどるっつぉわぼーなすあっぷをしゅちょうした。
MIDDLE1600_1_0577	かふぇでひとりをしめすじぇすちゃーをすれば、てらすにあんないされる。
MIDDLE1600_1_0578	どねつぃくで、う゛ぁいんつぃーるがみそめたひとじゃ、ばくぜんとしてさがせないよ。
MIDDLE1600_1_0579	ぴにょってぃとなかよしのるみゃーながきめたぎふとなら、おきにめすだろう。
MIDDLE1600_1_0580	んーと、ひゅっしゅだったら、ぎょれめでつきみばーがーをたべてるよ。
MIDDLE1600_1_0581	ぺれきゅでーすわつんでれってやつなのか、ふりまわされてまいるよ。
MIDDLE1600_1_0582	はごろもにみをつつみ、えんぶするどぅびーにんに、めをうばわれる。
MIDDLE1600_1_0583	びゅーけるすわだれからもすかれるが、ややおとなげないところがある。
MIDDLE1600_1_0584	おふゅるすわどうこうえもどり、よえないからとすぴりたすをがぶのみした。
MIDDLE1600_1_0585	らでゃーどをしゅしょうにすえた、かぽえいらちーむがゆうしょうした。
MIDDLE1600_1_0586	しょうがつにかたなのえをにぎり、たてにちゃれんじする。
MIDDLE1600_1_0587	えーと、ちぇりゃびんすくわ、なにかのはっしょうのちだったはず。
MIDDLE1600_1_0588	じょこうせずにすむみちわないのかね、びょるぐう゛ぃんさん。
MIDDLE1600_1_0589	さんびゃくだいのぱじぇろか、しぬかのにしゃたくいつで、ぴんちだぜ。
MIDDLE1600_1_0590	じゅうねんぶりにあったう゛ぇんちゅーりわ、せきじつのおもかげをうしなっていた。
MIDDLE1600_1_0591	つぇるくにぇでしったすまほげーなら、むげんにじかんがとけちゃうぜ。
MIDDLE1600_1_0592	じゅうもんじぎりをみたみひぇるわ、そのよろこびをみかえるにつたえた。
MIDDLE1600_1_0593	う゛ぉいう゛ぉでぃなでわ、ぽかぽかとあたたかいまま、ひがかげる。
MIDDLE1600_1_0594	しぇーぺるすわかざしもにいたため、やまのいへんをみのがした。
MIDDLE1600_1_0595	ちりゃくにとむずぃびれのかつやくで、しゅくてきをほろぼせた。
MIDDLE1600_1_0596	ぺらぎあわ、ししゃぱんまにのぼるため、にゅうねんにそなえる。
MIDDLE1600_1_0597	ふぁーう゛ぁわ、はんばーがーのぱてが、ふだんよりうすいことにきづいた。
MIDDLE1600_1_0598	いえのよじょうきんわすくないが、ひゃくどるていどわあつまるだろ？
MIDDLE1600_1_0599	じゅうぇるわすぺくとるほうらくをまなび、とちゅうでざせつした。
MIDDLE1600_1_0600	どくぜつなぴょーとろう゛ぃちだが、ずばっとほんしつてきなしてきでやりにくい。
MIDDLE1600_2_0601	じじつ、ぐぇいぇわ、ぼうぎょふかのひぎをひろうしましたわ。
MIDDLE1600_2_0602	へどう゛ぃぐさん、ぼくらわそうりょくをあげて、ちぐぅをさがしますよ。
MIDDLE1600_2_0603	う゛ぃぐでぃすわ、しゅあいじゃおのきょうぎでぜんせんし、やぶれました。
MIDDLE1600_2_0604	せいきゅうしょにしゃめいをかきわすれたひみつ、ばくろしちゃいましょうか。
MIDDLE1600_2_0605	びょうじょうをひょうじょうからちぇっくするために、てっしょうわひつようですか？
MIDDLE1600_2_0606	かざりだったことりのおもちゃが、みしゅきぇう゛ぃっちをみちびくとわね。
MIDDLE1600_2_0607	うぃーう゛ぁーのじゆうほんぽうないきざまわ、あっぱれですね。
MIDDLE1600_2_0608	たけうまわ、かつてかぞくであそぶ、ひとときのおもちゃでした。
MIDDLE1600_2_0609	りゃくだつしたみょうおうのおたけびに、えんおがうずをまいています。
MIDDLE1600_2_0610	うっかりねすごし、みゃんまーのぴぇーでげしゃしそこねました。
MIDDLE1600_2_0611	ふぉーじゃのじょうざいわみょうやくで、げきつうがげきてきにやわらぎます。
MIDDLE1600_2_0612	しんけいがすりへりへとへとなので、らいきゃくまえにりゃまをなでてきます。
MIDDLE1600_2_0613	う゛ぁいすげるばーをしたうひとわおおいので、ぎゅるしぇんわふくざつかもね。
MIDDLE1600_2_0614	びょぐでょるのさいこうほうがどこなのか、わかりませぬ。
MIDDLE1600_2_0615	くぅいるのしんらつなひひょうわ、いう゛のこころをおりました。
MIDDLE1600_2_0616	ぶじゃぴだーさなのぽーずを、くものしたできめると、ぎゃらりーができました。
MIDDLE1600_2_0617	へじゃりゃちほうにわ、つめのながいおとこがすむ、びょうほがあります。
MIDDLE1600_2_0618	ふゅるすてんべるくで、ぎょかいのさるぴこんをつくってみましょう。
MIDDLE1600_2_0619	あくるあさにわ、びょうぶのまえのじょーがたちあがるはずです。
MIDDLE1600_2_0620	でぃねふわ、じゃうぉすきのでしになるため、うぉりごさんちをおとずれました。
MIDDLE1600_2_0621	てーぶるのみぎてにみえますわ、なぽりのぴっつぁでございます。
MIDDLE1600_2_0622	う゛らとぅこにかせいしたのわ、たぜいにぶぜいできのどくだったんでね。
MIDDLE1600_2_0623	ばつびょうをあきらめ、てつのいしでりょこうえいきます。
MIDDLE1600_2_0624	あれほどあらがったしゃぴゅいさが、じゅだくしたいとをさとってください。
MIDDLE1600_2_0625	うぃっでゃーとのしょうぶ、そりゃあちわき、にくおどりますぜ。
MIDDLE1600_2_0626	わたしも、つぇつぃーりあのような、すてきなはくしゃくふじんになりたいな。
MIDDLE1600_2_0627	ぶそうげりらにおそわれ、がいぎゃっくすわりつぜんとしてます。
MIDDLE1600_2_0628	びょいすがちょくちょくしらべてたちかすいみゃくわ、かれてたね。
MIDDLE1600_2_0629	とじるもんがゆびにはさまり、ぷしぇみすわふわ、ぐぁとこえをあげました。
MIDDLE1600_2_0630	じゃぐらーでまったくぺからず、びみょうにかおがあおくなってますね。
MIDDLE1600_2_0631	ちゃどうぃっくのひめごとがもれたこと、もうすまでもございませぬ。
MIDDLE1600_2_0632	としおいたわしにわ、ぷれっつぇるのおいしさがわからぬのです。
MIDDLE1600_2_0633	すう゛ぇいんびぇるんが、じんべえをきてだいう゛したそうね。
MIDDLE1600_2_0634	さかをのぼっていたら、とつじょかえるがぴょんととびだし、びびりました。
MIDDLE1600_2_0635	げこうじかんのぎふわあつく、てぃっしゅであせをぬぐいます。
MIDDLE1600_2_0636	りぇぷるのみょうあんにより、ぷろじぇくとをおえることができました。
MIDDLE1600_2_0637	とうにゅうをはこぶために、じぇっときをかりるなんてばかげています。
MIDDLE1600_2_0638	ぎりぎりまでおもいわずらいましたが、やっぱりいわせていただきます。
MIDDLE1600_2_0639	ひゅーりすてぃっくにうしをそだてるなんて、むちゃくちゃですよ。
MIDDLE1600_2_0640	とどのつまり、しぇりーふぁがぱずるをとけたかわ、さだかじゃないのですよ。
MIDDLE1600_2_0641	ぽーるがきてばーべきゅーするから、ぼちぼちちゃっかざいをもってきてね。
MIDDLE1600_2_0642	なにものかにせきゅりてぃがやぶられ、しょうりょにかられております。
MIDDLE1600_2_0643	ぴゃすとぅう゛なさん、つぎのわだいにうつってくださいませ。
MIDDLE1600_2_0644	じゃぱにーずでもじをあまさずつかおうとすると、てょやてゃがのこります。
MIDDLE1600_2_0645	けっきょくつぁいわ、にじゅうはちほんのはで、きょだいなちぇりーをかめましたっけ？
MIDDLE1600_2_0646	さんぐぃねってぃわ、かんぽうやくをのみつづけるも、こうかわでてきてません。
MIDDLE1600_2_0647	ぴあーう゛ぇわ、ほかのちーずとくらべ、ごぞうろっぷにしみわたるうまさですね。
MIDDLE1600_2_0648	うなばらに、ほそながいなにかが、にょろにょろとうごめいています。
MIDDLE1600_2_0649	ちよにとつじょごーとぅーへるといわれ、きょうだいわぎょっとしました。
MIDDLE1600_2_0650	みぇーらわ、かぽしゅう゛ぁーるはつのでんしゃで、しゃそうをたのしみます。
MIDDLE1600_2_0651	にゅーうぇいう゛わおんがくじゃんるで、うぇいう゛わぶつりてきななみでわなさそうね。
MIDDLE1600_2_0652	ぷろすくぃーろう゛ぇつぃでのしょうぎわ、じょばんのぽかでとうりょうとなりました。
MIDDLE1600_2_0653	ぎゅすたーう゛ときょうえんし、しげきてきなときをすごせましたか？
MIDDLE1600_2_0654	ちぇるにゃふすきわ、いくじなしえとひょうへんしちゃいました。
MIDDLE1600_2_0655	ぐんかのしょーうぃんどーを、げんじゅうにけいごしてるようです。
MIDDLE1600_2_0656	ちょっとにいちゃん、べるじゅいすさくのかわばっぐが、おかいどくですよ。
MIDDLE1600_2_0657	べっきょちゅうのふぇんでぃが、ほげいにはんたいなのわほんとうですか？
MIDDLE1600_2_0658	さるでぃーにゃののぞみわ、びゃくだんをぶつぞうのかたちにほることです。
MIDDLE1600_2_0659	おーときゅいじーぬをつくりたいが、ぐざいがたりないな。
MIDDLE1600_2_0660	でゅーらふぉあわ、としごろのいもうとにきらわれぬよう、きをつけてます。
MIDDLE1600_2_0661	くぉーたにおんわなんしょだが、ぷれぜんにふびわなかったですよ。
MIDDLE1600_2_0662	ふぁうすとのたたかいわ、う゛ぉくしーにおおきなえいきょうをあたえました。
MIDDLE1600_2_0663	みっどうぇーとうにわ、ごじゅっぷんほどでつくとのことです。
MIDDLE1600_2_0664	むなさわぎがするとつぶやき、ぎぇるげいわゆくえをくらませました。
MIDDLE1600_2_0665	くぇぜりんかんしょうにむかう、じぇっときのそくどがはやまります。
MIDDLE1600_2_0666	ざびっつぁーわ、ごごからうぃずだむとおでかけだそうです。
MIDDLE1600_2_0667	へみんぐうぇいからさずかったかみわ、ぺらぺらだがだいじなものです。
MIDDLE1600_2_0668	にぇざう゛ぃーしまやのいみわどくりつであり、こどくとわことなります。
MIDDLE1600_2_0669	あえぎゅぷとぅすをしゅっぱつし、やっとりゅくでにいたったわ。
MIDDLE1600_2_0670	まにきゅあのために、ぎゅみゅしゅはーねにとつげきとわ、ものずきですね。
MIDDLE1600_2_0671	らぞびっちなら、おくじょうでるーびっくきゅーぶやってますよ。
MIDDLE1600_2_0672	びゃっこのうらぎりについて、しさいわぺーにゃがはあくしてるはずです。
MIDDLE1600_2_0673	ちょうこうをながめ、あいびょうのちゃちゃまるに、ちゃおちゅーるをやってます。
MIDDLE1600_2_0674	うぉるぽーるわ、くもがそらをおおうことにきづき、すぐきたくするでしょう。
MIDDLE1600_2_0675	かしになぜかあるぱかがいたと、ちょうしょにかひつしといてね。
MIDDLE1600_2_0676	う゛ぉーちぇでおすすめのこすめを、さいやすねでかいました。
MIDDLE1600_2_0677	じゅんきょうじゅがみたのわひだりのりべしぃで、きょぎわのべていません。
MIDDLE1600_2_0678	ひゃひゃひゃとわらいながら、じぇーこびーとよもやまばなしに、はなをさかせました。
MIDDLE1600_2_0679	ぶんみゃくをよむかぎり、すぃたるけすわ、ひゅーんふぇるとにきょうみなさげね。
MIDDLE1600_2_0680	おーしゃんびゅーのほてる、ふいぴゃーの、う゛ぁっれ、いまーにゃでもはかくです。
MIDDLE1600_2_0681	じゅばくでかおがこわばるぐぉにゅるだが、りっぱにやりとげますよ。
MIDDLE1600_2_0682	むぎのちがいをべんべつできるとわ、そりゃあうれしいですなあ。
MIDDLE1600_2_0683	きょしつでらちされたきゃくなら、ちゃをてゃとはつおんするのでわかります。
MIDDLE1600_2_0684	ひゃくせつふとうのこころざしをもつしゅう゛ぉてだが、おさにじきそわむちゃですね。
MIDDLE1600_2_0685	みなみからにゃーとなくこえがきこえ、ぎょっとしました。
MIDDLE1600_2_0686	へーぜるなっつわたべだすととまらず、じゅーすまでのみはじめちゃうの。
MIDDLE1600_2_0687	てゅぺろのかなでるきょくわ、きょむのこころをふっしょくするきょくちょうでしたか？
MIDDLE1600_2_0688	きょくしょてきないたみわ、れいきゃくしーとでちょくせつひやします。
MIDDLE1600_2_0689	ざふぁーるのはつげんをふまえて、ちぇりーをさがしてくださいませ。
MIDDLE1600_2_0690	ぱすくぁーれさまより、ぼろもうけできるしごとをじゅたくしました。
MIDDLE1600_2_0691	しゅらいえるまっひぇるのひょうばんわ、またたくまにひろまりました。
MIDDLE1600_2_0692	なるほど、このまちのひとびとわ、やずぃーでぃーをしんこうするわけですね。
MIDDLE1600_2_0693	りょだんのりーだーわふぃっつぁですが、きょげんへきがあるのでしんぱいです。
MIDDLE1600_2_0694	じょうるりをまとめたがう゛ぁっつぃのれぽーとわ、みごとでしたわ。
MIDDLE1600_2_0695	ほりでぇいがたてたいしゅーに、べいりゃるがかいをしめしたようです。
MIDDLE1600_2_0696	わたしのとぅーどぅーりすとでわ、みどりいろわきゅうようでわありません。
MIDDLE1600_2_0697	せきぜんとしたばしょで、とつじょぱりぴがいぇいいぇいさわぎだし、めざわりですね。
MIDDLE1600_2_0698	せっかくだから、ふぇるぷすやぺてぃぐりゅーとも、しんぼくをふかめましょ。
MIDDLE1600_2_0699	ぺっつぉわ、あくのごんげにむしずがはしり、かげきになりがちです。
MIDDLE1600_2_0700	さかずきにわこだわりがあって、るみゃんつぇう゛ぉからとりよせました。
MIDDLE1600_2_0701	へるうぃぐわかぼちゃをうらごしし、つぶがないかをちぇっくした。
MIDDLE1600_2_0702	ぺーじをめくり、ゆきのよるにゆんじゅがうまれたことをしる。
MIDDLE1600_2_0703	ぎょかくりょうがぜろだなんて、かいびゃくいらいはじめてだよ。
MIDDLE1600_2_0704	みっかかけてつくったぷりんを、ゆだんしてゆかにおとした。
MIDDLE1600_2_0705	ぎゃっきょうにもめげず、かいせんからりだつしたが、ほほにけがをしてしまった。
MIDDLE1600_2_0706	すびょるわぐちもこぼさず、しぇいぷあっぷをゆっくりやる。
MIDDLE1600_2_0707	ぽっつぉう゛ぃーう゛ぉがふざけたひょうしに、きゅうりがゆかにおちた。
MIDDLE1600_2_0708	ふぉるてゅなとぅすがよじのぼったがんぺきだが、ほう゛せぴあんにわむりだ。
MIDDLE1600_2_0709	みゅーずぃがえひめで、ぺぷしとぺりえのおゆわりを、ゆあがりにのむ。
MIDDLE1600_2_0710	あくしゅだったがきもちをおさえ、てしぃけわしろぼしをあげた。
MIDDLE1600_2_0711	たかだかくぁっどこあで、れんぱがかかったこんぺにのぞむのわむちゃだよ。
MIDDLE1600_2_0712	ぴーぼでぃわ、ひょうがむようとじしんふせつを、むねにきざむ。
MIDDLE1600_2_0713	ずう゛ぇーりぇふとふうふになり、あさぺしぺしとおこされる。
MIDDLE1600_2_0714	ふぃーびーわほそみだがぱわふるで、じう゛ぃぞーるさんみゃくものぼれるだろう。
MIDDLE1600_2_0715	てゃーさまにわ、ぱゆってなの、りっぱなきょかがいるんですよ。
MIDDLE1600_2_0716	でいう゛ぃっどやよーぜふもつれて、まよいねこのさとおやさがしえいく。
MIDDLE1600_2_0717	ひぇてぃるよ、なだれがあんぜんなどとほざくのわ、やめときな。
MIDDLE1600_2_0718	ぽぺてぃがゆうぐれに、ぎょゆのゆまくを、ゆみでゆっくりやぶる。
MIDDLE1600_2_0719	しかしすぃろう゛ぃが、ここまでちみつでせいみょうなしなをだすとわなあ。
MIDDLE1600_2_0720	ばしゃでいどうするならぎょしゃがひっすなので、ぱぱっとあつめるぞ。
MIDDLE1600_2_0721	のう゛ぁふぇるとりあのぼくしわ、たぎてきでぜつみょうなことばをつかう。
MIDDLE1600_2_0722	りょうりぶでこんにゃくをちょうりしたよるわ、かやのなかえはいりねる。
MIDDLE1600_2_0723	じょるじぇからゆずりうけたじゃんぱーに、とりょうがふちゃくしちゃった。
MIDDLE1600_2_0724	しゃぽう゛ぁーろふわ、ふだんおだやかだが、きれるとぼうぎゃくのかぎりをつくす。
MIDDLE1600_2_0725	ぼじぇなわりゃくごでこたえたが、ごとうとあつかわれてしまった。
MIDDLE1600_2_0726	ざーさいをいれたすぶたと、ぺぽーぞのこんびがぞんがいにうまい。
MIDDLE1600_2_0727	このみらのぴっつぁわ、いぇりっつぁがきめたふぉーまっとにじゅんきょしてるぞ。
MIDDLE1600_2_0728	う゛ぉるぴわ、ぎゅるぎゅるとはらをくだし、くるしそうだった。
MIDDLE1600_2_0729	ぎゅぎゅっとしぼったじゅーすでそなえたのに、そんなごむたいな。
MIDDLE1600_2_0730	がう゛ぁっつぇーにのおぺらわ、みなもにうかぶはすににた、おもむきがある。
MIDDLE1600_2_0731	う゛ぃーずぎぇるみるわ、このあたりでゆいいつのかんこうすぽっとなの？
MIDDLE1600_2_0732	ぶぐぅわせんぎょうゆーちゅーばーになったが、ちゅろすしばりのねたじゃむりよ。
MIDDLE1600_2_0733	にぇんろんでおかしたあやまちわ、よくよくかんがえればえんざいだろう。
MIDDLE1600_2_0734	そりゃあ、あさせでぱちゃぱちゃはしゃぐじぇぶじゃ、すこしにゅーすばりゅーがよわいだろ。
MIDDLE1600_2_0735	みゅぐれーをせっとくしたきゃ、そこらのざこじゃなく、しゅるつぇをよびな。
MIDDLE1600_2_0736	ぬのがちぎれたので、たーくぅるがふたたびぬうことになった。
MIDDLE1600_2_0737	かわらからちかいあみゅーずめんとぱーくで、ぽーくかれーをたのむ。
MIDDLE1600_2_0738	みうしがちんもくをやぶり、じとーみぇしゅでおきたじこをのべるそうだ。
MIDDLE1600_2_0739	やつわうぉがうぉがでこずるくたちまわり、しゅくてきをそげきしたおしたのだ。
MIDDLE1600_2_0740	ふででじをかくのわひさびさですな、あぶどぅらいぇさん。
MIDDLE1600_2_0741	へいてんごに、でょーくわゆったりぴにゃこらーだと、ぴーちぱいんをたのしむ。
MIDDLE1600_2_0742	じぇぽとかぞくわ、ごじっぽひゃっぽのぽえむで、こんぺにのぞむ。
MIDDLE1600_2_0743	おれのにょうぼうときゃぴゅしーぬわ、かこにすぽーつでれぎゅらーをあらそった。
MIDDLE1600_2_0744	うむ、ちゃどるばぎをくったふりんあいてわ、うぬであるな。
MIDDLE1600_2_0745	うぇいぐぉさまわなじみのきゃくなので、そりゃくにあつかっちゃだめだぜ。
MIDDLE1600_2_0746	えんりょがちにえうぇごをはなしたが、さるしばいときづかれた。
MIDDLE1600_2_0747	ひかげもののぞっぴに、けんじゅつのおうぎをでんじゅするとわ、おどろきだぜ。
MIDDLE1600_2_0748	つぉぐげれるわ、げんしゅくなぎしきをほうちしたやつらが、ゆるせぬようだ。
MIDDLE1600_2_0749	にゅうじがぴぇーぴぇーとよだれをたらしなき、へおるへわあわててあやした。
MIDDLE1600_2_0750	てぃくう゛ぁわすきるもしゅうじゅくしてるし、れべるあっぷすっか。
MIDDLE1600_2_0751	むかしわ、つきやけりのかけごえが、でゃーでゃーだったんだけどな。
MIDDLE1600_2_0752	ぷろぐらみんぐでわ、ふてきせつなへんすうを、ちょくちょくしてきされる。
MIDDLE1600_2_0753	こばえをくじょすべく、どう゛ぁりょーなすわさっちゅうざいをつかった。
MIDDLE1600_2_0754	ぴゃおが、ゆむきとまとのすーぷをたち、たいりょくがおちてきた。
MIDDLE1600_2_0755	ぜるう゛ぉすのははおやわ、ふぉれすとぐりーんのまにきゅあがにあう。
MIDDLE1600_2_0756	うぃーざーわ、ぬぐろほと、べつべつのへやでしゅくはくする。
MIDDLE1600_2_0757	う゛ぁほんわげこうちゅうにはぐれ、じたくでこっぴどくしかられた。
MIDDLE1600_2_0758	びぇろわぐんぴょうとして、いくどとなくせんじょうにかりだされた。
MIDDLE1600_2_0759	てゅーぺろでたべたくだものわ、ぺるしゃぶらっくというざくろだった。
MIDDLE1600_2_0760	ふゅーちゃーびゅーをおうゆめに、うぃんちぇすたーものろうぜ。
MIDDLE1600_2_0761	う゛ぇすぴにゃーにわふんいきでかぶをやり、まけてぱにっくにおちいった。
MIDDLE1600_2_0762	う゛ぃるひゃるまーがささえたとしても、はめつのさきのばしだろうな。
MIDDLE1600_2_0763	すぴりたすをぐぃっとのみ、のどがやけもんぜつするほどあつい。
MIDDLE1600_2_0764	しょくをもとめ、らう゛なぬっつぁにむかってしゅっぱつしたのわ、ゆすぽふなの？
MIDDLE1600_2_0765	えすぺーほわ、ぬりえをきばつないろでぬるくせをなおす。
MIDDLE1600_2_0766	とぅかぺるで、すきやづくりのじゅうたくがけんぞうされている。
MIDDLE1600_2_0767	ばにょーねのさかばでさかだるをころがし、しゃざいしましたよ。
MIDDLE1600_2_0768	ばんしゃくで、あぶどぅーぐをいっぱいやるのがたのしみでね。
MIDDLE1600_2_0769	てょわはんぐるにでてくるもじであることを、やとうがおしえてくれた。
MIDDLE1600_2_0770	はえあるとろふぃーわ、こんぺでとっぷのう゛らすてぃみるにささげられた。
MIDDLE1600_2_0771	ぽんぺおがぎふえいったのわ、ひょっとしてうぇいぱーがもくてきなのか？
MIDDLE1600_2_0772	ぴょう゛ぇーねのさいゆうきに、かっぱがでてこないってでまだよな。
MIDDLE1600_2_0773	しぇんきぇう゛ぃっちがちちおやにあまえて、すふぇーんとじぇーどをもらった。
MIDDLE1600_2_0774	ひゅーぷわ、げんをかつぐきもちで、ひゃくどまいりをはじめた。
MIDDLE1600_2_0775	だいみょうにけんじょうする、むぎしょうちゅうのじゅんびわ、ぱーふぇくとです。
MIDDLE1600_2_0776	ふぁぞーろがぶるぶるとふるうのわ、ゆうべのことがげんいんなのか？
MIDDLE1600_2_0777	んー、しぇるう゛ぃーのわ、かんじゅくとまとのみねすとろーねがこうぶつだよ。
MIDDLE1600_2_0778	ぼちぼちびぶんがとけそうだと、でぃう゛ぁだすがしゅちょうした。
MIDDLE1600_2_0779	ぐぇるふのしんりゃくそくど、まさにらいじんのごとしじゃ。
MIDDLE1600_2_0780	ごがつついたちに、じゃくぇんわ、ともだちのう゛ぁざーりとけつべつした。
MIDDLE1600_2_0781	みゃぜでぃひぶんのちかくで、ぼくのどっぺるげんがーをみたきがした。
MIDDLE1600_2_0782	びゅーふぃるすがさらをわり、ぱんたれおぬすがせきにんをとる。
MIDDLE1600_2_0783	でぇうぃんとぎぇおーるぎいわ、なかよくふたりでじゃんぐるじむにいるぜ。
MIDDLE1600_2_0784	くぉーたーのでゅぼがじきじきに、ぎゃくぞくのとうばつえでむく。
MIDDLE1600_2_0785	ぐぁばちゃをのみじつりょくをはっきすれば、かてるあいてだよ。
MIDDLE1600_2_0786	べっつぃーわ、どこにでもりっぱなはしをかけることができる。
MIDDLE1600_2_0787	じょう゛ぃなっぞわ、こどもにくもんしきをならわせるつもりだ。
MIDDLE1600_2_0788	いしをみがくぎじゅつわ、しのびになるためにひっすですよ。
MIDDLE1600_2_0789	しゅまりぇしゅけ、とぷりつぇに、しないをもったむかしながらのこーちがいるってさ。
MIDDLE1600_2_0790	りゅべるつぃわ、はんでぃたいぷのせんぷうきをみたことないぞ。
MIDDLE1600_2_0791	きゃんてぃがそうじゅうするふぇらーりにのり、りょこうえしゅっぱつだ。
MIDDLE1600_2_0792	とれびぞんだにわるぎわなかろうが、つみにわばつをあたえにゃならぬ。
MIDDLE1600_2_0793	つらければ、ちゅるちゅるとそばでもすすって、じぶんをなぐさめなさいな。
MIDDLE1600_2_0794	さつきばれのひに、あぞう゛ぉ、すぃう゛ぁすくぃーにいってみるか。
